ticker,adv_shares,last_price,slip_500_pct,vs_flat_500,slip_1k_pct,vs_flat_1k,slip_5k_pct,vs_flat_5k
GPUS,43302551.2,0.1525,2.075,1.875,1.56,1.36,1.765,1.565
GRCE,903794.6,4.85,2.174,1.974,1.7,1.5,2.078,1.878
GRO,733295.1,3.07,2.385,2.185,1.999,1.799,2.745,2.545
GUTS,1838687.45,0.5571,2.745,2.545,2.507,2.307,3.882,3.682
GV,46682056.55,0.2217,1.981,1.781,1.427,1.227,1.466,1.266
GXAI,705093.25,1.25,2.831,2.631,2.629,2.429,4.155,3.955
HCAI,25229691.15,4.85,1.739,1.539,1.084,0.884,0.701,0.501
HCTI,413469.4,2.45,2.751,2.551,2.516,2.316,3.902,3.702
HCWB,656376.9,0.4429,3.714,3.514,3.878,3.678,6.946,6.746
HGRAF,482545.75,5.5,2.326,2.126,1.916,1.716,2.559,2.359
HIMS,24686494.95,28.5582,1.682,1.482,1.005,0.805,0.522,0.322
HIMZ,1115703.5,40.83,1.806,1.606,1.179,0.979,0.913,0.713
HIT,1810825.4,1.7999999523162842,2.195,1.995,1.731,1.531,2.145,1.945
HMENF,12729.052631578947,1.93,8.851,8.651,10.0,9.8,10.0,9.8
HOTH,5545306.6,0.6901,2.197,1.997,1.733,1.533,2.152,1.952
HOUR,8773.78947368421,1.8562999963760376,10.0,9.8,10.0,9.8,10.0,9.8
HUBC,78934751.55,7.2756,1.687,1.487,1.011,0.811,0.537,0.337
HWH,105676.0,1.16,4.751,4.551,5.344,5.144,10.0,9.8
HXHX,1532250.75,0.63,2.778,2.578,2.554,2.354,3.987,3.787
IBG,427294.25,1.29,3.146,2.946,3.075,2.875,5.151,4.951
IBO,180324.05,0.65,4.906,4.706,5.563,5.363,10.0,9.8
IBRX,19981787.45,7.64,1.73,1.53,1.073,0.873,0.675,0.475
IMMP,38168844.75,0.5423,1.88,1.68,1.284,1.084,1.147,0.947
INDO,1228493.85,3.24,2.2,2.0,1.738,1.538,2.161,1.961
INKT,66751.75,14.4424,2.779,2.579,2.555,2.355,3.99,3.79
IPI,351759.25,35.6786,1.956,1.756,1.391,1.191,1.387,1.187
IPST,9234484.4,0.3929,2.213,2.013,1.755,1.555,2.201,2.001
IPW,2249526.65,1.11,2.348,2.148,1.946,1.746,2.626,2.426
ISPC,53889904.05,0.1204,2.079,1.879,1.566,1.366,1.777,1.577
IT,1324171.4,155.3800048828125,1.716,1.516,1.053,0.853,0.63,0.43
ITOC,6518278.6,0.3183,2.397,2.197,2.015,1.815,2.781,2.581
IVDA,475463.45,0.2899,4.651,4.451,5.204,5.004,9.912,9.712
JAGU,479190.55,3.0,2.628,2.428,2.343,2.143,3.515,3.315
JCSE,1979862.55,1.48,2.277,2.077,1.845,1.645,2.402,2.202
JDZG,1291745.1,1.1424,2.56,2.36,2.247,2.047,3.299,3.099
JEM,22138765.65,1.58,1.825,1.625,1.206,1.006,0.973,0.773
JTAI,20091771.75,8.6,1.725,1.525,1.065,0.865,0.658,0.458
JUST,5390.8,90.43080139160156,3.213,3.013,3.169,2.969,5.362,5.162
JWEL,6264.55,2.399,10.0,9.8,10.0,9.8,10.0,9.8
JZXN,67871.45,1.0,5.932,5.732,7.014,6.814,10.0,9.8
KALA,2701328.55,0.1934,3.187,2.987,3.133,2.933,5.28,5.08
KALV,1056742.25,20.5,1.877,1.677,1.281,1.081,1.139,0.939
KEY,15749007.555555556,19.420000076293945,1.704,1.504,1.036,0.836,0.593,0.393
KIDZ,5478621.25,1.63,2.014,1.814,1.474,1.274,1.572,1.372
KITT,1788530.1,0.4095,2.946,2.746,2.793,2.593,4.52,4.32
KNRX,62325.85,1.28,5.598,5.398,6.543,6.343,10.0,9.8
KOD,1805553.5,43.7087,1.763,1.563,1.119,0.919,0.779,0.579
KRKNF,272428.05,6.440000057220459,2.484,2.284,2.139,1.939,3.058,2.858
KRNT,207748.05263157896,16.37,2.251,2.051,1.809,1.609,2.321,2.121
